recipe_id,recipe_name,ingredient_label,ausnut_public_food_key,ausnut_food_name
R082,Orange grape yoghurt snack,yoghurt,F009694,"Yoghurt, natural, regular fat (~4%)"
R083,Carrot cucumber sticks,carrot,F002276,"Carrot, raw"
R083,Carrot cucumber sticks,cucumber,F003323,"Cucumber, raw"
R083,Carrot cucumber sticks,yoghurt,F009694,"Yoghurt, natural, regular fat (~4%)"
R084,Banana yoghurt snack,banana,F000262,"Banana, cavendish, peeled, raw"
R084,Banana yoghurt snack,yoghurt,F009694,"Yoghurt, natural, regular fat (~4%)"
R084,Banana yoghurt snack,oats,F006143,"Oats, rolled, uncooked"
R085,Strawberry milk smoothie,strawberry,F008952,"Strawberry, raw"
R085,Strawberry milk smoothie,milk,F005634,"Milk, cow, fluid, regular fat (~3.5%)"
R085,Strawberry milk smoothie,yoghurt,F009694,"Yoghurt, natural, regular fat (~4%)"
R086,Mango avocado salad,mango,F005299,"Mango, peeled, raw"
R086,Mango avocado salad,avocado,F000162,"Avocado, raw"
R086,Mango avocado salad,lettuce,F005194,"Lettuce, raw"
R086,Mango avocado salad,cucumber,F003323,"Cucumber, raw"
R086,Mango avocado salad,lemon,F005174,"Lemon, peeled, raw"
R087,Homemade flatbread,flour,F004007,"Flour, wheat, white, plain"
R087,Homemade flatbread,milk,F005634,"Milk, cow, fluid, regular fat (~3.5%)"
R087,Homemade flatbread,butter,F001973,"Butter, plain, salted"
R088,Garlic mushroom toast,mushroom,F005946,"Mushroom, common, raw"
R088,Garlic mushroom toast,garlic,F004193,"Garlic, peeled, raw"
R088,Garlic mushroom toast,bread,F001463,"Bread, white, commercial"
R088,Garlic mushroom toast,butter,F001973,"Butter, plain, salted"
R089,Zucchini corn fritter-style side,zucchini,F009775,"Zucchini, green skin, raw"
R089,Zucchini corn fritter-style side,corn,F003209,"Corn, raw"
R089,Zucchini corn fritter-style side,flour,F004007,"Flour, wheat, white, plain"
R089,Zucchini corn fritter-style side,egg,F003729,"Egg, chicken, whole, raw"
R090,Mushroom spinach side,mushroom,F005946,"Mushroom, common, raw"
R090,Mushroom spinach side,spinach,F008749,"Spinach, baby, fresh, raw"
R090,Mushroom spinach side,garlic,F004193,"Garlic, peeled, raw"
R090,Mushroom spinach side,olive_oil,F006177,"Oil, olive"
R091,Broccoli cheese bake,broccoli,F001905,"Broccoli, fresh or frozen, raw"
R091,Broccoli cheese bake,cheese,F002414,"Cheese, cheddar, natural, plain"
R091,Broccoli cheese bake,milk,F005634,"Milk, cow, fluid, regular fat (~3.5%)"
R091,Broccoli cheese bake,butter,F001973,"Butter, plain, salted"
R092,Apple grape yoghurt bowl,apple,F000114,"Apple, unpeeled, raw, not further defined"
R092,Apple grape yoghurt bowl,grape,F004258,"Grape, raw"
R092,Apple grape yoghurt bowl,yoghurt,F009694,"Yoghurt, natural, regular fat (~4%)"
R093,Banana peanut yoghurt snack,banana,F000262,"Banana, cavendish, peeled, raw"
R093,Banana peanut yoghurt snack,peanut_butter,F006577,"Peanut butter, added sugar & salt"
R093,Banana peanut yoghurt snack,yoghurt,F009694,"Yoghurt, natural, regular fat (~4%)"
R094,Carrot capsicum sticks,carrot,F002276,"Carrot, raw"
R094,Carrot capsicum sticks,capsicum,F002234,"Capsicum, raw"
R094,Carrot capsicum sticks,yoghurt,F009694,"Yoghurt, natural, regular fat (~4%)"
R095,Cucumber tomato avocado snack,cucumber,F003323,"Cucumber, raw"
R095,Cucumber tomato avocado snack,tomato,F009210,"Tomato, raw, not further defined"
R095,Cucumber tomato avocado snack,avocado,F000162,"Avocado, raw"
R095,Cucumber tomato avocado snack,lemon,F005174,"Lemon, peeled, raw"
R096,Cheese cucumber plate,cheese,F002414,"Cheese, cheddar, natural, plain"
R096,Cheese cucumber plate,cucumber,F003323,"Cucumber, raw"
R096,Cheese cucumber plate,tomato,F009210,"Tomato, raw, not further defined"
R097,Orange mango yoghurt snack,orange,F006277,"Orange, peeled, raw"
R097,Orange mango yoghurt snack,mango,F005299,"Mango, peeled, raw"
R097,Orange mango yoghurt snack,yoghurt,F009694,"Yoghurt, natural, regular fat (~4%)"
R098,Strawberry banana oats snack,strawberry,F008952,"Strawberry, raw"
R098,Strawberry banana oats snack,banana,F000262,"Banana, cavendish, peeled, raw"
R098,Strawberry banana oats snack,oats,F006143,"Oats, rolled, uncooked"
R098,Strawberry banana oats snack,yoghurt,F009694,"Yoghurt, natural, regular fat (~4%)"
R099,Apple orange fruit plate,apple,F000114,"Apple, unpeeled, raw, not further defined"
R099,Apple orange fruit plate,orange,F006277,"Orange, peeled, raw"
R099,Apple orange fruit plate,grape,F004258,"Grape, raw"
R099,Apple orange fruit plate,strawberry,F008952,"Strawberry, raw"
R100,Tomato avocado toast,tomato,F009210,"Tomato, raw, not further defined"
R100,Tomato avocado toast,avocado,F000162,"Avocado, raw"
R100,Tomato avocado toast,bread,F001463,"Bread, white, commercial"
R100,Tomato avocado toast,lemon,F005174,"Lemon, peeled, raw"
